toll_station_id,station_name,route_code,section_code,longitude,latitude,entrance_exit,square_code,taz_id,remarks
183,,,,,,,,,
202,,,,,,,,,
206,,,,,,,,,
208,,,,,,,,,
209,,,,,,,,,
210,,,,,,,,,
211,,,,,,,,,
212,,,,,,,,,
213,,,,,,,,,
214,,,,,,,,,
215,,,,,,,,,
236,,,,,,,,,
243,,,,,,,,,
244,,,,,,,,,
256,,,,,,,,,
258,,,,,,,,,
327,,,,,,,,,
505,,,,,,,,,
506,,,,,,,,,
507,,,,,,,,,
508,,,,,,,,,
509,,,,,,,,,
537,,,,,,,,,
550,,,,,,,,,
551,,,,,,,,,
552,,,,,,,,,
553,,,,,,,,,
554,,,,,,,,,
580,,,,,,,,,
601,,,,,,,,,
621,,,,,,,,,
683,,,,,,,,,
685,,,,,,,,,
686,,,,,,,,,
694,,,,,,,,,
695,,,,,,,,,
725,,,,,,,,,
759,,,,,,,,,
761,,,,,,,,,
770,,,,,,,,,
774,,,,,,,,,
