junction_id,inc_lanes,int_lanes,stake_number,route_direction,route_code,section_code
-28547,-9192_0 -9192_1,:-28547_0_0 :-28547_0_1,0.000,upstream,G5,G0005008
-37811,-11954_0 -11954_1,:-37811_0_0 :-37811_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-51531,-9704_0 -9704_1,:-51531_0_0 :-51531_0_1,0.000,upstream,G5,G0005008
-30807,-7450_0 -7450_1,:-30807_0_0 :-30807_0_1,0.000,upstream,G5,G0005007
-51111,-9530_0 -9530_1,:-51111_0_0 :-51111_0_1,0.000,upstream,G5,G0005008
3329908886,-4000000176_0 -4000000176_1,:3329908886_0_0 :3329908886_0_1,0.000,upstream,G5,G0005009
-59757,-14406_0 -14406_1,:-59757_0_0 :-59757_0_1,0.000,upstream,G5,G0005007
-31025,-2232_0 -2232_1,:-31025_0_0 :-31025_0_1,0.000,upstream,G5,G0005007
-38051,-9144_0 -9144_1 -12544_0 -12544_1,:-38051_0_0 :-38051_0_1 :-38051_2_0 :-38051_2_1,0.000,upstream,G5,G0005002
-31274,-2322_0 -2322_1,:-31274_0_0 :-31274_0_1,0.000,upstream,G5,G0005002
-38363,-4818_0 -4818_1,:-38363_0_0 :-38363_0_1,0.000,upstream,G5,G0005009
-31422,-2346_0 -2346_1,:-31422_0_0 :-31422_0_1,0.000,upstream,G5,G0005007
-29300,-1720_0 -1720_1 -1720_2,:-29300_0_0 :-29300_0_1 :-29300_0_2,0.000,upstream,G5,G0005005
-28513,-14876_0 -14876_1,:-28513_0_0 :-28513_0_1,0.000,upstream,G5,G0005009
-56677,-13136_0 -13136_1,:-56677_0_0 :-56677_0_1,0.000,upstream,G5,G0005007
-56684,-11850_0 -11850_1,:-56684_0_0 :-56684_0_1,0.000,upstream,G5,G0005007
-56694,-12858_0 -12858_1,:-56694_0_0 :-56694_0_1,0.000,upstream,G5,G0005006
-60019,-13272_0 -13272_1,:-60019_0_0 :-60019_0_1,0.000,upstream,G5,G5京昆高速（绵广段）
-26836,-7488_0 -7488_1 -7488_2 -7488_3,:-26836_0_0 :-26836_0_1 :-26836_0_2 :-26836_0_3,0.000,upstream,G5,G0005005
-38637,-8756_0 -8756_1,:-38637_0_0 :-38637_0_1,0.000,upstream,G5,G0005005
-38785,-14702_0 -14702_1,:-38785_0_0 :-38785_0_1,0.000,upstream,G5,G0005007
-38791,-4970_0 -4970_1,:-38791_0_0 :-38791_0_1,0.000,upstream,G5,G0005008
-38819,-16098_0 -16098_1,:-38819_0_0 :-38819_0_1,0.000,upstream,G5,G0005002
-50574,-11284_0 -11284_1,:-50574_0_0 :-50574_0_1,0.000,upstream,G5,G0005007
-56787,-14992_0 -14992_1,:-56787_0_0 :-56787_0_1,0.000,upstream,G5,G0005003
-50218,-10526_0 -10526_1,:-50218_0_0 :-50218_1_0 :-50218_1_1,0.000,upstream,G5,G0005008
-50016,-9402_0 -9402_1,:-50016_0_0 :-50016_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
