id,report_id,类型,开始时间,结束时间,发生地点,车道方向,占用车道情况,所在高速公路,伤亡情况,管控措施,上下行,junction_id,edge_id,inc_lanes,int_lanes,管控开始时间,管控结束时间,管控收费站,管控范围,详细信息,匹配地点
132,16187,交通事故,2025-09-10 10:57:29,2025-09-10 11:21:01,1584.0,绵阳至广元方向,第二车道,G5京昆高速（绵广段）,暂无人员伤亡,因处置绵广向K1584（官垭子隧道内）两车擦挂事故，现江油北站至二郎庙站入口广元方向封闭。,上行,-50465,,-11970_0 -11970_1,:-50465_0_0 :-50465_0_1,2025-09-10 11:00:00,,"249,250,255,256",,"【交通事故首报】2025/9/10 10:57:29,接汪燕莎报：京昆高速绵广段绵阳至广元方向K1584+000发生一起两车擦挂事故，占用第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置。因处置绵广向K1584（官垭子隧道内）两车擦挂事故，现江油北站至二郎庙站入口广元方向封闭。,该事件为未达4级事件。",
134,16198,交通管制,2025-09-11 01:57:40,2025-09-11 03:11:28,1685.63,双向方向,,G5京昆高速（绵广段）,,因大雨天气，现绵阳南站至绵阳北站入口广元方向、江油站至厚坝站入口封闭,双向,-29722|-34923,-16326,-1848_0 -5554_0 -5554_1,:-29722_0_0 :-29722_1_0 :-29722_1_1,2025-09-11 01:57:00,,"255,250,249,247,246,243,236,225",绵阳南站 到 厚坝站,【交通管制首报】2025/9/11 1:57:40，接任良秀报：因大雨天气，京昆高速绵广段绵阳南站至厚坝站路段交通管制厚坝站、小溪坝站、江油北站、贯山站、江油站入口关闭，绵阳北站、绵阳站、绵阳南站入口广元方向关闭，预计1小时后解除。,
137,16228,交通事故,2025-09-11 13:50:39,2025-09-11 14:47:02,1661.0,广元至绵阳方向,第一车道,G5京昆高速（绵广段）,暂无人员伤亡,,下行,-45843,,-7622_0 -7622_1,:-45843_0_0 :-45843_1_0 :-45843_1_1,2025-09-11 14:01:00,,",249,247,246",,"【交通事故首报】2025/9/11 13:50:39,接江明芝报：京昆高速绵广段广元至绵阳方向K1661+000发生一起一辆货和一辆小车发生追尾事故事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
139,16272,交通事故,2025-09-11 21:39:51,2025-09-11 22:02:36,1732.0,绵阳至成都方向,应急车道,G5京昆高速（成绵段）,受伤1人,,下行,-49298,-8890,-8890_0 -8890_1 -8890_2 -8890_3,:-49298_0_0 :-49298_0_1 :-49298_0_2 :-49298_0_3,2025-09-11 21:34:00,2025-09-11 22:02:00,"214,213,212,211,210",,"【交通事故首报】2025/9/11 21:39:51,接黄欢报：京昆高速成绵段绵阳至成都方向K1732+000发生一起两货车追尾事故，占用应急车道，目前造成0死亡1受伤，已通知高速交警,执法,路维,消防,急救到场处置,该事件为未达4级事件。",
141,16426,交通事故,2025-09-12 19:01:55,2025-09-12 19:51:45,1773.0,贵州至纳溪方向,第二车道,G76厦蓉高速（纳黔段）,受伤1人,,双向,-26480|9540576135,-3000000386,-876_0 -876_1 -876_2,:-26480_0_0 :-26480_0_1 :-26480_0_2,2025-09-12 19:15:00,,"183,555",,"【交通事故首报】2025/9/12 19:01:55,接刘丹报：厦蓉高速纳黔段贵州至纳溪方向K1773+000发生一起小车单车事故事故，占用第二车道，目前造成0死亡1受伤，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
142,16429,交通事故,2025-09-13 06:44:31,2025-09-13 11:17:26,1757.0,贵州至纳溪方向,"第一车道,第二车道",G76厦蓉高速（纳黔段）,暂无人员伤亡,因处置瑞公山隧道交通事故，现关闭麻城站、摩尼站、赤水河站贵州至泸州方向入口、高桥服务区贵州至泸州方向出口,双向,-64586|3538591775,-9620|-10176,-15058_0 -16900_0 -16900_1 -16900_2,:-64586_0_0 :-64586_1_0 :-64586_1_1 :-64586_1_2,2025-09-13 06:47:00,,"555,183",,"【交通事故首报】2025/9/13 6:44:31,接刘丹报：厦蓉高速纳黔段贵州至纳溪方向K1757+000发生一起货车侧翻事故，占用第一车道,第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置因处置瑞公山隧道交通事故，现关闭麻城站、摩尼站、赤水河站贵州至泸州方向入口、高桥服务区贵州至泸州方向出口,该事件为未达4级事件。",
143,16431,交通事故,2025-09-13 10:12:57,2025-09-13 11:46:13,1742.2,绵阳至成都方向,"第一车道,应急车道",G5京昆高速（成绵段）,暂无人员伤亡,,下行,-29792,,-1858_0 -1858_1 -1858_2 -1858_3,:-29792_0_0 :-29792_0_1 :-29792_0_2 :-29792_0_3,2025-09-13 10:13:00,,"212,211,210,209",,"【交通事故首报】2025/9/13 10:12:57,接杨国韬报：京昆高速成绵段绵阳至成都方向K1742+200发生一起多车追尾事故，占用第一车道,应急车道，目前无人员伤亡，已通知高速交警,路维到场处置,该事件为未达4级事件。",
146,16463,交通事故,2025-09-15 06:30:02,2025-09-15 09:12:00,1752.0,绵阳至成都方向,"第一车道,第二车道,第三车道,第四车道,应急车道",G5京昆高速（成绵段）,暂无人员伤亡上行方向交通阻断,,下行,-26837,-3000000219,-978_0 -978_1 -978_2 -978_3,:-26837_0_0 :-26837_0_1 :-26837_0_2 :-26837_0_3,2025-09-15 06:50:00,,"215,209,210,211,212,213,214",,"【交通事故首报】2025/9/15 6:30:02,接杨国韬报：京昆高速成绵段绵阳至成都方向K1752+000发生一起两货车追尾，其中小货车侧翻事故，占用第一车道,第二车道,第三车道,第四车道,应急车道，目前人员受伤情况待定，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
149,16566,交通管制,2025-09-16 08:58:04,2025-09-16 12:36:17,1766.0,双向方向,,G5京昆高速（成绵段）,,入口关闭,双向,-30773|9022331090,-3000000074,-2140_0,:-30773_0_0,2025-09-16 09:00:00,,"213,212,211,209,601,214,215",新都北站 到 金山站,"【交通管制首报】2025/9/16 8:58:04，接黄欢报：因大雾雷雨天气，京昆高速成绵段新都北站至金山站路段交通管制新都北站，广汉北站，金山站，罗江站，白马关站，德阳北站，德阳南站入口关闭，,预计小时后解除。",
150,16634,交通事故,2025-09-16 18:19:31,2025-09-16 21:45:29,34.64,会理至德昌方向,"第一车道,第二车道",S81德会高速,暂无人员伤亡下行方向交通阻断,由于K34+640（石家坝隧道）一辆两轴小货车发生侧翻单车事故，会理至德昌方向所有车辆均在益门收费站分流出站。益门收费站入口会理至德昌方向所有车辆禁止上站。,双向,J89|-39211,-13706,-2680_0 -2680_1 -2680_2 -2680_3,:J89_0_0 :J89_1_0 :J89_1_1 :J89_1_2,2025-09-16 18:20:00,,621,,"【交通事故首报】2025/9/16 18:19:31,接雷红月报：德会高速会理至德昌方向K34+640发生一起单车侧翻事故，占用第一车道,第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置由于K34+640（石家坝隧道）一辆两轴小货车发生侧翻单车事故，会理至德昌方向所有车辆均在益门收费站分流出站。益门收费站入口会理至德昌方向所有车辆禁止上站。,该事件为未达4级事件。",
151,16775,交通事故,2025-09-17 21:21:06,2025-09-17 22:10:13,1674.0,广元至绵阳方向,第二车道,G5京昆高速（绵广段）,暂无人员伤亡,,下行,-33995,-16050,-3276_0 -3276_1,:-33995_0_0 :-33995_0_1,2025-09-17 21:37:00,,",243",,"【交通事故首报】2025/9/17 21:21:06,接姜春蓉报：京昆高速绵广段广元至绵阳方向K1674+000发生一起小车追尾货车事故，占用第二车道，目前无人员伤亡，已通知高速交警,执法,路维,急救到场处置,该事件为未达4级事件。",
152,16825,交通事故,2025-09-18 10:11:27,2025-09-18 11:12:25,1675.0,广元至绵阳方向,第一车道,G5京昆高速（绵广段）,暂无人员伤亡,绵阳站入口 成都方向封闭,下行,-44416,-16050,-16050_0 -16050_1,:-44416_0_0 :-44416_0_1,2025-09-18 10:11:00,,236,,"【交通事故首报】2025/9/18 10:11:27,接汪燕莎报：京昆高速绵广段广元至绵阳方向K1675+000发生一起单车事故事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置绵阳站入口 成都方向封闭,该事件为未达4级事件。",
154,16886,交通事故,2025-09-19 23:13:35,2025-09-20 00:48:05,1699.1,成都至绵阳方向,第二车道,G5京昆高速（成绵段）,暂无人员伤亡,关闭德阳南至罗江入口（成都至绵阳方向）,上行,-48985,,-17036_0 -17036_1,:-48985_0_0 :-48985_0_1,2025-09-19 23:14:00,,"213,212,211,210,209",,"【交通事故首报】2025/9/19 23:13:35,接黄欢报：京昆高速成绵段成都至绵阳方向K1699+100发生一起两货车追尾事故，占用第二车道，目前无人员伤亡，已通知高速交警,路维到场处置关闭德阳南至罗江入口（成都至绵阳方向）,该事件为未达4级事件。",
155,16887,交通事故,2025-09-20 01:20:24,2025-09-20 07:40:32,1705.0,成都至绵阳方向,"第一车道,第二车道",G5京昆高速（成绵段）,暂无人员伤亡下行方向交通阻断,关闭入口（成都至绵阳方向）,上行,-44436,-6726,,,2025-09-20 01:22:00,,"213,212,211,210,209",,"【交通事故首报】2025/9/20 1:20:24,接黄欢报：京昆高速成绵段成都至绵阳方向K1705+000发生一起两货车追尾事故，占用第一车道,第二车道，目前无人员伤亡，已通知高速交警,执法,路维,消防,急救到场处置关闭入口（成都至绵阳方向）,该事件为未达4级事件。",
156,16888,交通事故,2025-09-20 02:07:31,2025-09-20 06:59:30,1667.709,广元至绵阳方向,应急车道,G5京昆高速（绵广段）,暂无人员伤亡,因处置该事故现科学城站至厚坝站入口成都方向封闭。,下行,-47874,-11204,-11204_0 -11204_1,:-47874_0_0 :-47874_1_0 :-47874_1_1,2025-09-20 06:11:00,,"255,250,249,247,246,244",,"【交通事故首报】2025/9/20 2:07:31,接汪燕莎报：京昆高速绵广段广元至绵阳方向K1667+709发生一起货车自燃事故事故，占用应急车道，目前无人员伤亡，已通知高速交警,执法,路维,消防到场处置。因处置该事故现科学城站至厚坝站入口成都方向封闭。该事件为未达4级事件。",
157,16890,交通事故,2025-09-20 11:27:46,2025-09-20 13:19:47,1639.0,绵阳至广元方向,应急车道,G5京昆高速（绵广段）,暂无人员伤亡,,上行,-34833,-16112,-15612_0 -15612_1 -3510_0 -3510_1,:-34833_0_0 :-34833_0_1 :-34833_2_0 :-34833_2_1,2025-09-20 11:39:00,,"246,247",,"【交通事故首报】2025/9/20 11:27:46,接张欢报：京昆高速绵广段绵阳至广元方向K1639+000发生一起货车自燃事故事故，占用应急车道，目前无人员伤亡，已通知高速交警,执法,路维,消防到场处置,该事件为未达4级事件。",
158,16894,交通事故,2025-09-20 15:25:07,2025-09-20 18:19:07,1626.0,绵阳至广元方向,第一车道,G5京昆高速（绵广段）,暂无人员伤亡,江油站至江油北站入口广元方向封闭。,上行,-51738,-15950,-15840_0,,2025-09-20 15:25:00,,"246,247,249",,"【交通事故首报】2025/9/20 15:25:07,接张欢报：京昆高速绵广段绵阳至广元方向K1626+000发生一起货车侧翻事故事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置江油站至江油北站入口广元方向封闭。该事件为未达4级事件。",
159,16899,交通事故,2025-09-20 19:08:16,2025-09-20 21:50:06,2240.95,泸沽至黄联关方向,第一车道,G5京昆高速（泸黄段）,暂无人员伤亡,,上行,-33397,-9698,-3034_0 -3034_1,:-33397_0_0 :-33397_0_1 :-33397_0_2,2025-09-20 19:20:00,2025-09-20 21:50:00,",640,639",,"【交通事故首报】2025/9/20 19:08:16,接刘艳报：京昆高速泸黄段泸沽至黄联关方向K2240+950发生一起两车相撞事故，占用第一车道，目前无人员伤亡，已通知高速交警,路维,急救到场处置,该事件为未达4级事件。",
160,17223,交通事故,2025-09-29 09:47:05,2025-09-29 11:08:32,1606.0,绵阳至广元方向,"第一车道,第二车道,应急车道",G5京昆高速（绵广段）,暂无人员伤亡,绵广向K1606一辆货车发生交通事故，无人员受伤，现场道路中断，已通知高交、执法、路维；在相关情报板发布提示信息。接高交通知：因处置该事故，现江油站至小溪坝站入口广元方向封闭。,上行,-53415,-1062,-10476_0 -10476_1,:-53415_0_0 :-53415_0_1,2025-09-29 09:47:00,,"250,249,247,246",,"【交通事故首报】2025/9/29 9:47:05,接任良秀报：京昆高速绵广段绵阳至广元方向K1606+000发生一起货车单车事故事故，占用第一车道,第二车道,应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置绵广向K1606一辆货车发生交通事故，无人员受伤，现场道路中断，已通知高交、执法、路维；在相关情报板发布提示信息。接高交通知：因处置该事故，现江油站至小溪坝站入口广元方向封闭。该事件为未达4级事件。",
164,17249,交通事故,2025-09-30 09:51:38,2025-09-30 12:46:51,1575.85,绵阳至广元方向,第一车道,G5京昆高速（绵广段）,暂无人员伤亡,,上行,-46263,-4688,-7768_0 -7768_1,:-46263_0_0 :-46263_0_1,2025-09-30 11:18:00,2025-09-30 12:40:00,,,"【交通事故首报】2025/9/30 9:51:38,接罗海燕报：京昆高速绵广段绵阳至广元方向K1575+850发生一起单车侧翻事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
171,17277,交通事故,2025-09-30 19:56:57,2025-09-30 20:35:32,1756.2,贵州至纳溪方向,第二车道,G76厦蓉高速（纳黔段）,暂无人员伤亡,,双向,-64586|3426567093,-14572|-10176,-15058_0 -16900_0 -16900_1 -16900_2,:-64586_0_0 :-64586_1_0 :-64586_1_1 :-64586_1_2,2025-09-30 19:43:00,,"183809,555",,"【交通事故首报】2025/9/30 19:56:57,接李英报：厦蓉高速纳黔段贵州至纳溪方向K1756+200发生一起3辆小车追尾事故，占用第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
172,17278,交通事故,2025-09-30 20:26:47,2025-09-30 20:40:24,1756.0,贵州至纳溪方向,第一车道,G76厦蓉高速（纳黔段）,暂无人员伤亡,,双向,-64586|-51337,-14572|-10176,-15058_0 -16900_0 -16900_1 -16900_2,:-64586_0_0 :-64586_1_0 :-64586_1_1 :-64586_1_2,2025-09-30 19:43:00,,"183809,555",,"【交通事故首报】2025/9/30 20:26:47,接王英报：厦蓉高速纳黔段贵州至纳溪方向K1756+000发生一起小车事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
174,17281,交通事故,2025-09-30 20:45:30,2025-09-30 22:01:57,1762.75,贵州至纳溪方向,第一车道,G76厦蓉高速（纳黔段）,暂无人员伤亡,,双向,-67933|-33414,-3000000312,-16618_0 -16618_1,,2025-09-30 20:46:00,,"183809,555",,"【交通事故首报】2025/9/30 20:45:30,接李英报：厦蓉高速纳黔段贵州至纳溪方向K1762+750发生一起发生事故事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
176,17284,交通事故,2025-09-30 21:00:00,2025-09-30 23:50:00,1915.8,成都至雅安方向,"第一车道,第二车道",G5京昆高速（成雅段）,暂无人员伤亡,受成雅向K1915+800处小车自燃事故影响，雅安金鸡关、太平收费站入口关闭。,上行,-67949,-3170,-16628_0,,2025-09-30 20:56:00,,"683,686",,"【交通事故首报】2025/9/30 21:00:00,接颜翠报：京昆高速成雅段成都至雅安方向K1915+800发生一起小车自燃事故，占用第一车道,第二车道，目前无人员伤亡，已通知高速交警,执法,路维,消防到场处置受成雅向K1915+800处小车自燃事故影响，雅安金鸡关、太平收费站入口关闭。,该事件为未达4级事件。",
177,17285,交通事故,2025-09-30 21:18:24,2025-09-30 21:38:29,1645.0,绵阳至广元方向,"第一车道,应急车道",G5京昆高速（绵广段）,暂无人员伤亡,,上行,-31957,-1690,-2522_0 -13664_0 -13664_1,:-31957_0_0 :-31957_1_0 :-31957_1_1,2025-09-30 21:13:00,,"246,244,243,236,225",,"【交通事故首报】2025/9/30 21:18:24,接任良秀报：京昆高速绵广段绵阳至广元方向K1645+000发生一起两起追尾事故事故，占用第一车道,应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
198,17366,交通阻塞,2025-10-01 07:48:13,2025-10-01 08:15:01,1675.0,绵阳至广元方向,,G5京昆高速（绵广段）,,因主线车流量大，现绵阳至广元方向主线车辆分流至绵阳站出站。,上行,-30177,-16050,-10690_0,:-30177_0_0,2025-10-01 07:48:00,2025-10-01 08:15:00,,,"【交通阻塞首报】2025/10/1 7:48:13,接任良秀报：京昆高速绵广段绵阳至广元方向K1675+000处发生一起高速交警通知非事故非施工抢险原因交通管制，因主线车流量大，现绵阳至广元方向主线车辆分流至绵阳站出站。已通知高速交警,执法,路维察看原因并进行疏导。",
200,17371,交通事故,2025-10-01 08:37:26,2025-10-01 08:44:34,1857.0,纳溪至贵州方向,第一车道,G76厦蓉高速（纳黔段）,暂无人员伤亡,三轴及三轴以上货车（鲜活车除外），大件车、危化品车管制,上行,-39203,-1772,-5118_0 -5118_1,:-39203_0_0 :-39203_0_1,2025-10-01 08:00:00,,"552,551,550",,"【交通事故首报】2025/10/1 8:37:26,接李英报：厦蓉高速纳黔段纳溪至贵州方向K1857+000发生一起3小车追尾事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置三轴及三轴以上货车（鲜活车除外），大件车、危化品车管制,该事件为未达4级事件。",
212,17456,交通事故,2025-10-02 08:53:02,2025-10-02 09:36:26,1691.0,成都至绵阳方向,第一车道,G5京昆高速（成绵段）,暂无人员伤亡,,上行,-36904,,-8062_0 -8062_1,:-36904_0_0 :-36904_0_1,2025-10-02 09:27:00,,214,,"【交通事故首报】2025/10/2 8:53:02,接代宇森报：京昆高速成绵段成都至绵阳方向K1691+000发生一起五小车追尾事故，占用第一车道，目前无人员伤亡，已通知高速交警,路维到场处置,该事件为未达4级事件。",
219,17614,交通事故,2025-10-04 20:14:13,2025-10-04 20:48:35,1845.359,贵州至纳溪方向,第一车道,G76厦蓉高速（纳黔段）,暂无人员伤亡,接高交通知因处置贵州至泸州方向大石板隧道内三车追尾事故，现护国、江门、黄桷坪站入口关闭,双向,-54774|-37491,-1454|-4544,,,2025-10-04 20:13:00,,"550,551,552",,"【交通事故首报】2025/10/4 20:14:13,接钟琴报：厦蓉高速纳黔段贵州至纳溪方向K1845+359发生一起三车追尾事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置，接高交通知因处置贵州至泸州方向大石板隧道内三车追尾事故，现护国、江门、黄桷坪站入口关闭,该事件为未达4级事件。",
220,17702,交通阻塞,2025-10-06 11:29:42,2025-10-06 12:02:10,1675.0,广元至绵阳方向,,G5京昆高速（绵广段）,,绵阳站至江油站入口成都方向封闭。,下行,-44416,-16050,-16050_0 -16050_1,:-44416_0_0 :-44416_0_1,2025-10-06 11:31:00,,"236,243,244,246",,"【交通阻塞首报】2025/10/6 11:29:42,接张欢报：京昆高速绵广段广元至绵阳方向K1675+000处发生一起主线交通中断，目前已阻断，已通知高速交警,执法,路维察看原因并进行疏导。",
222,17735,交通事故,2025-10-06 19:51:00,2025-10-06 23:10:13,1563.0,绵阳至广元方向,"第一车道,第二车道",G5京昆高速（绵广段）,受伤1人,,上行,-26502,,-4850_0 -4850_1,:-26502_0_0 :-26502_0_1,2025-10-06 20:31:00,,",258,256,255,250,249,247,246,244,243,236",,"【交通事故首报】2025/10/6 19:51:00,接江明芝报：京昆高速绵广段绵阳至广元方向K1563+000发生一起多车追尾事故事故，占用第一车道,第二车道，目前造成0死亡1受伤，已通知高速交警,执法,路维,急救到场处置,该事件为未达4级事件。",
225,17760,交通事故,2025-10-07 14:04:18,2025-10-07 14:35:41,1762.0,贵州至纳溪方向,"第一车道,应急车道,第二车道",G76厦蓉高速（纳黔段）,暂无人员伤亡,麻城站、赤水河站、摩尼站入口往泸州方向关闭,双向,3976561455|-37700,-5670|-3000000312,-3000000380_0 -3000000380_1,:3976561455_0_0 :3976561455_0_1,2025-10-07 14:05:00,,"183809,555,183",,"【交通事故首报】2025/10/7 14:04:18,接万燕报：厦蓉高速纳黔段贵州至纳溪方向K1762+000发生一起三车追尾事故，占用第一车道,应急车道,第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置麻城站、赤水河站、摩尼站入口往泸州方向关闭,该事件为未达4级事件。",
230,17828,交通事故,2025-10-08 18:09:11,2025-10-08 18:50:55,1607.0,绵阳至广元方向,"第一车道,应急车道",G5京昆高速（绵广段）,暂无人员伤亡,因处置绵广向K1607交通事故，现江油站至小溪坝站入口广元方向封闭。,上行,-53415,-1062,-10476_0 -10476_1,:-53415_0_0 :-53415_0_1,2025-10-08 18:10:00,,"246,247,249,250",,"【交通事故首报】2025/10/8 18:09:11,接任良秀报：京昆高速绵广段绵阳至广元方向K1607+000发生一起两起小车追尾事故，占用第一车道,应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置因处置绵广向K1607交通事故，现江油站至小溪坝站入口广元方向封闭。该事件为未达4级事件。",
234,17838,交通事故,2025-10-09 10:45:15,2025-10-09 12:58:27,1777.0,纳溪至贵州方向,"第一车道,第二车道",G76厦蓉高速（纳黔段）,受伤1人,叙永站入口往贵州方向关闭,上行,-53295,-12928,-10424_0 -10424_1,:-53295_0_0 :-53295_0_1,2025-10-09 10:45:00,,553,,"【交通事故首报】2025/10/9 10:45:15,接曾永宽报：厦蓉高速纳黔段纳溪至贵州方向K1777+000发生一起小车追尾货车事故，占用第一车道,第二车道，目前造成0死亡1受伤，已通知高速交警,执法,路维,急救到场处置叙永站入口往贵州方向关闭,该事件为未达4级事件。",
236,17864,交通管制,2025-10-11 07:21:51,2025-10-11 09:42:41,1685.63,绵阳至广元方向,,G5京昆高速（绵广段）,,因暴雨天气，现绵阳南站至二郎庙站入口广元方向封闭,上行,-29722,-16326,-1848_0 -5554_0 -5554_1,:-29722_0_0 :-29722_1_0 :-29722_1_1,2025-10-11 07:24:00,,"255,250,247,246,243,225,256",绵阳南站 到 二郎庙站,"【交通管制首报】2025/10/11 7:21:51，接何勇报：因大雾雷雨天气，京昆高速绵广段绵阳南站至二郎庙站路段交通管制二郎庙站，厚坝站，小溪坝站，江油北站，贯山站，江油站，科学城站，绵阳北站，绵阳站，绵阳南站入口关闭，,预计小时后解除。",
237,17865,交通管制,2025-10-11 07:25:41,2025-10-11 09:05:41,1572.87,双向方向,,G5京昆高速（绵广段）,,因暴雨天气，现金子山站入口封闭。,双向,-29937|-39126,-1674,-8440_0 -8440_1,:-29937_0_0 :-29937_0_1,2025-10-11 07:26:00,,258,金子山站 到 金子山站,"【交通管制首报】2025/10/11 7:25:41，接何勇报：因大雾雷雨天气，京昆高速绵广段金子山站至金子山站路段交通管制金子山站入口关闭，,预计小时后解除。",
240,17883,交通事故,2025-10-11 19:54:16,2025-10-11 20:03:38,1660.0,广元至绵阳方向,第一车道,G5京昆高速（绵广段）,暂无人员伤亡,江油站至厚坝站入口成都方向封闭。,下行,-45843,,-7622_0 -7622_1,:-45843_0_0 :-45843_1_0 :-45843_1_1,2025-10-11 19:54:00,2025-10-11 20:04:00,"246,247,249,250,255",,"【交通事故首报】2025/10/11 19:54:16,接姜春蓉报：京昆高速绵广段广元至绵阳方向K1660+000发生一起小车追尾货车事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置江油站至厚坝站入口成都方向封闭。该事件为未达4级事件。",
241,17902,交通事故,2025-10-13 07:07:15,2025-10-13 08:45:40,1762.0,绵阳至成都方向,"第一车道,第二车道,第四车道",G5京昆高速（成绵段）,暂无人员伤亡,,下行,-37700,-3000000312,-4610_0 -4610_1,:-37700_0_0 :-37700_0_1 :-37700_2_0,2025-10-13 07:10:00,,"215,214,213,212,211,210,209,208,206",,"【交通事故首报】2025/10/13 7:07:15,接李琦报：京昆高速成绵段绵阳至成都方向K1762+000发生一起2+3车追尾（其中三辆货车）事故，占用第一车道,第二车道,第四车道，目前无人员伤亡，已通知高速交警,路维到场处置,该事件为未达4级事件。",
244,17925,交通事故,2025-10-14 21:48:21,2025-10-15 00:54:20,1856.0,贵州至纳溪方向,第二车道,G76厦蓉高速（纳黔段）,暂无人员伤亡,,双向,-39203|1931049809,-1772,-5118_0 -5118_1,:-39203_0_0 :-39203_0_1,2025-10-14 22:03:00,2025-10-15 00:54:00,"552,550,551",,"【交通事故首报】2025/10/14 21:48:21,接万燕报：厦蓉高速纳黔段贵州至纳溪方向K1856+000发生一起货车侧翻事故，占用第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
245,17931,交通事故,2025-10-15 08:07:27,2025-10-15 09:05:22,1703.3,成都至绵阳方向,"应急车道,第一车道",G5京昆高速（成绵段）,暂无人员伤亡,,上行,-25414,-2884,-7712_0,:-25414_0_0 :-25414_0_1,2025-10-15 08:09:00,,"209,211,212,213",,"【交通事故首报】2025/10/15 8:07:27,接李芳报：京昆高速成绵段成都至绵阳方向K1703+300发生一起单车撞护栏+4车追尾事故，占用应急车道,第一车道，目前无人员伤亡，已通知高速交警,路维到场处置,该事件为未达4级事件。",
246,17934,交通事故,2025-10-15 09:56:42,2025-10-15 12:21:46,1736.0,绵阳至成都方向,"第一车道,第三车道,应急车道",G5京昆高速（成绵段）,暂无人员伤亡,德阳至金山站入口绵阳至成都方向关闭,下行,-43014,,-15250_0 -15250_1 -15250_2 -15250_3,:-43014_0_0 :-43014_1_0 :-43014_1_1 :-43014_1_2 :-43014_1_3,2025-10-15 09:57:00,,,,"【交通事故首报】2025/10/15 9:56:42,接李芳报：京昆高速成绵段绵阳至成都方向K1736+000发生一起多起多车事故事故，占用第一车道,第三车道,应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置德阳至金山站入口绵阳至成都方向关闭,该事件为未达4级事件。",
247,17941,交通事故,2025-10-15 18:24:42,2025-10-15 20:55:54,1598.0,广元至绵阳方向,"第二车道,应急车道",G5京昆高速（绵广段）,暂无人员伤亡,,下行,-38283,,-13320#1_0 -13320#1_1 -4788#3_0 -4788#3_1,:-38283_0_0 :-38283_0_1 :-38283_2_0 :-38283_2_1,2025-10-15 19:11:00,,",258",,"【交通事故首报】2025/10/15 18:24:42,接张欢报：京昆高速绵广段广元至绵阳方向K1598+000发生一起两货车追尾事故，占用第二车道,应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
250,17962,交通事故,2025-10-17 02:25:09,2025-10-17 04:07:41,1762.0,绵阳至成都方向,"第二车道,第三车道,应急车道",G5京昆高速（成绵段）,暂无人员伤亡,关闭青白江至德阳南站绵阳至成都方向入口,下行,-37700,-3000000312,-4610_0 -4610_1,:-37700_0_0 :-37700_0_1 :-37700_2_0,2025-10-17 02:26:00,,"206,208,215,209",,"【交通事故首报】2025/10/17 2:25:09,接杨国韬报：京昆高速成绵段绵阳至成都方向K1762+000发生一起两货车追尾事故，其中一辆货车有人卡在车内，119、路管队已到达，正在施救占用第二车道,第三车道,应急车道，目前无人员伤亡，已通知高速交警,路维到场处置两货车追尾,该事件为未达4级事件。",
251,17987,交通事故,2025-10-17 16:20:35,2025-10-17 18:03:20,78.0,德昌至会理方向,匝道,S81德会高速,暂无人员伤亡,由于K78+000（南阁枢纽会理至会东方向匝道）一辆货车发生侧翻单车事故，临时封闭会理至会东方向匝道，所有车辆分流至会理南收费站下站。,双向,-40152|-66849,-780,-14768_0 -14768_1 -12512_0 -12512_1 -12512_2,:-40152_0_0 :-40152_0_1 :-40152_2_0 :-40152_2_1 :-40152_2_2,2025-10-17 16:15:00,,,,"【交通事故首报】2025/10/17 16:20:35,接苏翔宇报：德会高速德昌至会理方向K78+000发生一起单车侧翻事故，占用匝道，目前无人员伤亡，已通知高速交警,执法,路维到场处置由于K78+000（南阁枢纽会理至会东方向匝道）一辆货车发生侧翻单车事故，临时封闭会理至会东方向匝道，所有车辆分流至会理南收费站下站。,该事件为未达4级事件。",
