id,report_id,类型,开始时间,结束时间,发生地点,车道方向,占用车道情况,所在高速公路,伤亡情况,管控措施,上下行,junction_id,edge_id,inc_lanes,int_lanes,管控开始时间,管控结束时间,管控收费站,管控范围,详细信息,匹配地点
34,13270,交通管制,2025-07-24 16:48:22,2025-07-24 17:03:30,1685.63,双向方向,,G5京昆高速（绵广段）,,因大雨天气，现绵阳南站入口广元方向、绵阳站入口成都方向封闭。,双向,-29722|-34923,-16326,-1848_0 -5554_0 -5554_1,:-29722_0_0 :-29722_1_0 :-29722_1_1,2025-07-24 16:49:00,,"225,236",绵阳南站 到 绵阳站,【交通管制首报】2025/7/24 16:48:22，接任良秀报：因大雾雷雨天气，京昆高速绵广段因大雨天气，现绵阳南站入口广元方向、绵阳站入口成都方向封闭。预计1小时后解除。,
35,13278,交通管制,2025-07-24 18:26:50,2025-07-24 19:19:36,1669.23,双向方向,,G5京昆高速（绵广段）,,因大雨天气，绵阳北站入口关闭。,双向,-41368|-31681,-7944,-5894_0,:-41368_0_0,2025-07-24 18:27:00,,243,绵阳北站 到 绵阳北站,"【交通管制首报】2025/7/24 18:26:50，接任良秀报：因大雾雷雨天气，京昆高速绵广段因大雨天气，绵阳北站入口关闭，,预计1小时后解除。",
36,13283,交通管制,2025-07-24 20:35:04,2025-07-24 21:15:29,1685.63,双向方向,,G5京昆高速（绵广段）,,因大雨天气，现绵阳南站入口广元方向、绵阳站入口、绵阳北站入口成都方向封闭。,双向,-29722|-34923,-16326,-1848_0 -5554_0 -5554_1,:-29722_0_0 :-29722_1_0 :-29722_1_1,2025-07-24 20:35:00,,"243,236,225",绵阳南站 到 绵阳北站,【交通管制首报】2025/7/24 20:35:04，接任良秀报：因大雾雷雨天气，京昆高速绵广段绵阳南站至绵阳北站路段交通管制绵阳北站，绵阳站，绵阳南站入口关闭，因大雨天气，现绵阳南站入口广元方向、绵阳站入口、绵阳北站入口成都方向封闭。预计1小时后解除。,
39,13371,交通事故,2025-07-25 20:09:24,2025-07-25 20:30:06,1754.7,绵阳至成都方向,第一车道,G5京昆高速（成绵段）,暂无人员伤亡,,下行,-59979,-13106,-13258_0,:-59979_0_0,2025-07-25 20:10:00,,"215,209",,"【交通事故首报】2025/7/25 20:09:24,接祖福明报：京昆高速成绵段绵阳至成都方向K1754+700发生一起三车追尾事故，占用第一车道，目前无人员伤亡，已通知高速交警,路维,消防到场处置,该事件为未达4级事件。",
40,13470,地质灾害,2025-07-26 07:27:17,2025-07-27 20:41:08,2093.0,泸沽至雅安方向,"第二车道,第三车道",G5京昆高速（雅泸段）,暂无人员伤亡暂无车辆被困,,下行,-57672,,-12294_0 -12294_1,:-57672_0_0 :-57672_0_1,2025-07-26 07:47:00,2025-07-26 08:19:00,,,"【地质灾害首报】2025/7/26 7:27:17,接姜琴报：因地质灾害京昆高速雅泸段泸沽至雅安方向K2093+000发生泥水流入主线路面,占用第二车道,第三车道,无人员伤亡,暂无人员伤亡暂无车辆被困,已通知高速交警,执法,路维到场处置。",
46,13638,交通管制,2025-07-30 21:05:48,2025-07-30 21:26:40,1726.51,双向方向,,G5京昆高速（成绵段）,,,双向,-50199|-41414,-3026|-13944,-12406_0 -12406_1 -12406_2 -12406_3,:-50199_0_0 :-50199_0_1 :-50199_0_2 :-50199_0_3,2025-07-30 21:06:00,2025-07-30 21:27:00,"215,211,210,209",德阳站 到 德阳南站,"【交通管制首报】2025/7/30 21:05:48，接李芳报：因大雾雷雨天气，京昆高速成绵段德阳站至德阳南站路段交通管制广汉北站，德阳北站，德阳站，德阳南站入口关闭，,预计小时后解除。",
50,13692,交通事故,2025-08-02 01:10:57,2025-08-02 01:25:23,1662.875,绵阳至广元方向,"第一车道,应急车道",G5京昆高速（绵广段）,暂无人员伤亡,绵阳南站至科学城站入口广元方向封闭,上行,-32257,-13846,-2610_0,:-32257_0_0,,,"225,236,243,244",,"【交通事故首报】2025/8/2 1:10:57,接姚娟报：京昆高速绵广段绵阳至广元方向K1662+875发生一起两车追尾事故，占用第一车道,应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置绵阳南站至科学城站入口广元方向封闭,该事件为未达4级事件。",
51,13694,交通事故,2025-08-02 09:17:28,2025-08-02 09:52:22,1671.0,绵阳至广元方向,"第一车道,应急车道",G5京昆高速（绵广段）,暂无人员伤亡,绵阳南站、绵阳站入口广元方向封闭。,上行,-30177,-7944,-10690_0,:-30177_0_0,2025-08-02 09:37:00,,"225,236",,"【交通事故首报】2025/8/2 9:17:28,接何勇报：京昆高速绵广段绵阳至广元方向K1671+000发生一起多车追尾事故，占用第一车道,应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置绵阳南站、绵阳站入口广元方向封闭。,该事件为未达4级事件。",
52,13703,交通事故,2025-08-02 12:05:31,2025-08-02 12:28:39,1645.0,绵阳至广元方向,第一车道,G5京昆高速（绵广段）,暂无人员伤亡,因处置该事故，现江油站入口广元方向封闭。,上行,-31957,-1690,-2522_0 -13664_0 -13664_1,:-31957_0_0 :-31957_1_0 :-31957_1_1,2025-08-02 12:20:00,,246,,"【交通事故首报】2025/8/2 12:05:31,接何勇报：京昆高速绵广段绵阳至广元方向K1645+000发生一起两辆小车追尾事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置因处置该事故，现江油站入口广元方向封闭。,该事件为未达4级事件。",
53,13707,交通事故,2025-08-02 14:56:27,2025-08-02 15:20:25,1674.0,绵阳至广元方向,"第一车道,第二车道",G5京昆高速（绵广段）,受伤1人,因处置该事故，绵阳站入口广元方向封闭。,上行,-30177,-16050,-10690_0,:-30177_0_0,2025-08-02 15:00:00,,236,,"【交通事故首报】2025/8/2 14:56:27,接何勇报：京昆高速绵广段绵阳至广元方向K1674+000发生一起三辆小车追尾事故事故，占用第一车道,第二车道，目前造成0死亡1受伤，已通知高速交警,执法,路维,急救到场处置因处置该事故，绵阳站入口广元方向封闭。,该事件为未达4级事件。",
