gantry_id,interval_start,total_flow,k1,k2,k3,k4,h1,h2,h3,h4,h5,h6
G000551003000220010,490,36,14,0,0,0,1,7,12,1,0,1
G000551003000220010,495,44,26,0,0,0,1,4,13,0,0,0
G000551003000220010,500,45,27,0,0,0,2,4,11,0,0,1
G000551003000220010,505,29,8,1,0,0,2,8,7,2,0,1
G000551003000220010,510,34,22,0,0,0,1,3,7,0,0,1
G000551003000220010,515,54,28,0,0,1,3,6,13,0,0,3
G000551003000220010,520,39,20,0,0,0,2,5,12,0,0,0
G000551003000220010,525,40,22,0,0,0,2,8,7,0,0,1
G000551003000220010,530,45,27,0,0,0,2,3,12,0,0,1
G000551003000220010,535,55,37,0,0,0,4,4,8,0,0,2
G000551003000310010,480,35,13,0,0,0,1,1,9,0,0,11
G000551003000310010,485,33,12,0,0,0,2,7,6,1,0,5
G000551003000310010,490,37,14,0,0,0,1,0,9,2,2,9
G000551003000310010,495,48,19,0,0,0,8,7,7,0,0,7
G000551003000310010,500,40,14,0,0,0,5,3,11,0,1,6
G000551003000310010,505,45,16,1,0,0,2,3,15,2,1,5
G000551003000310010,510,37,11,0,1,0,1,6,12,0,1,5
G000551003000310010,515,38,23,0,0,0,2,1,3,2,0,7
G000551003000310010,520,44,12,0,0,0,5,2,14,1,1,9
G000551003000310010,525,46,17,0,0,0,2,3,16,0,0,8
G000551003000310010,530,36,13,1,0,0,0,6,10,0,0,6
G000551003000310010,535,43,16,0,0,0,3,4,14,1,0,5
G000551003000320010,480,27,12,0,0,0,3,6,4,2,0,0
G000551003000320010,485,20,3,0,0,0,1,4,11,0,0,1
G000551003000320010,490,44,21,0,0,0,2,4,14,0,0,3
G000551003000320010,495,43,21,0,0,1,2,6,13,0,0,0
G000551003000320010,500,26,14,0,0,0,2,7,3,0,0,0
G000551003000320010,505,26,14,0,0,0,4,1,5,0,0,2
G000551003000320010,510,30,18,0,0,0,0,4,8,0,0,0
G000551003000320010,515,30,20,0,0,0,2,4,4,0,0,0
G000551003000320010,520,46,30,0,0,0,4,5,7,0,0,0
G000551003000320010,525,38,24,0,0,0,1,4,9,0,0,0
G000551003000320010,530,41,29,0,0,0,0,2,8,0,0,2
G000551003000320010,535,40,23,0,0,0,2,4,9,0,0,2
G000551003000410010,480,43,15,0,0,0,3,2,8,1,0,14
G000551003000410010,485,45,17,0,1,0,4,2,8,1,0,12
G000551003000410010,490,30,12,0,0,0,1,3,7,1,0,6
G000551003000410010,495,40,15,0,0,0,2,5,9,1,0,8
G000551003000410010,500,43,19,0,0,0,3,4,5,1,2,9
G000551003000410010,505,51,16,0,0,0,9,3,13,0,1,9
G000551003000410010,510,45,15,1,0,0,6,3,12,0,1,7
G000551003000410010,515,37,13,0,1,0,0,5,14,2,1,1
G000551003000410010,520,55,29,0,0,0,3,4,11,1,0,7
G000551003000410010,525,27,8,0,0,0,2,1,6,1,0,9
G000551003000410010,530,61,22,0,0,0,5,6,16,1,1,10
G000551003000410010,535,35,16,0,0,0,0,2,13,0,0,4
G000551003000420010,480,35,13,0,0,0,4,5,13,0,0,0
G000551003000420010,485,71,46,0,1,1,1,6,13,0,0,3
G000551003000420010,490,33,20,0,0,0,1,6,6,0,0,0
G000551003000420010,495,42,27,0,0,0,5,5,5,0,0,0
G000551003000420010,500,47,27,0,0,0,0,8,12,0,0,0
G000551003000420010,505,52,39,0,0,0,3,5,5,0,0,0
G000551003000420010,510,63,44,0,0,0,5,6,8,0,0,0
G000551003000420010,515,47,33,0,0,0,2,4,8,0,0,0
G000551003000420010,520,65,49,0,0,0,0,3,12,1,0,0
G000551003000420010,525,51,34,0,0,0,2,3,8,0,0,4
G000551003000420010,530,72,50,0,0,1,5,4,10,2,0,0
G000551003000420010,535,52,36,0,0,0,1,7,6,0,0,2
G000551003000510010,480,37,16,0,0,0,4,0,8,1,0,8
G000551003000510010,485,43,16,0,0,0,3,2,10,0,0,12
G000551003000510010,490,39,18,0,1,0,1,3,5,1,0,10
G000551003000510010,495,33,13,0,0,0,2,5,7,1,0,5
G000551003000510010,500,43,19,0,0,0,1,3,10,1,0,9
G000551003000510010,505,52,24,0,0,0,6,6,6,1,2,7
G000551003000510010,510,46,11,0,0,0,9,3,13,0,1,9
G000551003000510010,515,51,24,1,0,0,4,3,12,0,1,6
G000551003000510010,520,40,13,0,1,0,0,5,16,2,1,2
G000551003000510010,525,41,23,0,0,0,3,3,3,2,0,7
G000551003000510010,530,40,20,0,0,0,5,0,6,1,0,8
G000551003000510010,535,59,17,0,0,0,3,6,20,0,1,12
G000551003000520010,480,57,35,0,0,0,1,6,12,0,0,3
G000551003000520010,485,49,29,0,2,1,1,7,9,0,0,0
G000551003000520010,490,37,21,0,0,0,3,4,9,0,0,0
G000551003000520010,495,49,31,0,0,1,2,6,9,0,0,0
G000551003000520010,500,38,24,0,0,0,4,5,5,0,0,0
G000551003000520010,505,80,58,0,0,0,1,8,10,3,0,0
G000551003000520010,510,59,43,0,0,0,5,4,7,0,0,0
G000551003000520010,515,59,41,0,0,0,2,3,12,1,0,0
G000551003000520010,520,59,45,0,0,0,1,4,6,0,0,3
G000551003000520010,525,62,40,0,1,1,2,5,10,2,0,1
G000551003000520010,530,66,49,0,1,0,2,7,6,0,0,1
G000551003000520010,535,70,46,0,0,0,5,2,13,2,0,2
G000551003000610010,480,33,13,0,0,0,3,1,9,1,1,5
G000551003000610010,485,49,16,0,1,0,4,2,20,1,0,5
G000551003000610010,490,33,14,0,0,0,3,1,10,0,1,4
G000551003000610010,495,33,12,0,0,0,5,0,7,1,0,8
G000551003000610010,500,54,21,0,1,0,2,4,9,2,1,14
G000551003000610010,505,37,18,0,0,0,1,3,7,0,0,8
G000551003000610010,510,35,17,0,0,0,1,4,5,1,0,7
G000551003000610010,515,39,20,0,0,0,3,1,7,1,0,7
G000551003000610010,520,41,12,0,0,0,6,4,11,0,1,7
G000551003000610010,525,36,12,1,0,0,4,4,7,0,1,7
G000551003000610010,530,44,20,0,0,0,3,5,10,0,1,5
G000551003000610010,535,57,32,0,0,0,3,2,15,2,1,2
G000551003000620010,480,49,26,0,0,1,3,5,13,1,0,0
G000551003000620010,485,59,41,0,0,0,6,3,9,0,0,0
G000551003000620010,490,51,32,0,0,0,3,7,8,0,0,1
G000551003000620010,495,57,38,0,0,0,4,6,6,3,0,0
G000551003000620010,500,57,41,0,0,1,2,5,8,0,0,0
G000551003000620010,505,49,35,0,0,0,1,3,6,1,0,3
G000551003000620010,510,84,59,0,0,0,2,9,12,1,0,1
G000551003000620010,515,76,59,0,2,0,4,4,4,1,0,2
G000551003000620010,520,68,42,0,0,0,6,5,12,2,0,1
G000551003000620010,525,50,38,0,0,0,1,3,7,0,0,1
G000551003000620010,530,76,56,0,0,0,5,2,11,0,0,2
G000551003000620010,535,62,45,0,0,0,4,4,9,0,0,0
G000551003000710010,480,32,10,0,0,0,3,3,7,3,2,4
G000551003000710010,485,35,14,0,0,0,3,1,11,1,1,4
G000551003000710010,490,48,16,0,1,0,3,2,19,1,0,6
G000551003000710010,495,36,16,0,0,0,4,1,10,0,1,4
G000551003000710010,500,35,13,0,0,0,7,0,6,1,0,8
G000551003000710010,505,57,23,0,1,0,3,4,10,2,1,13
G000551003000710010,510,38,20,0,0,0,1,3,6,0,0,8
G000551003000710010,515,38,19,0,0,0,1,4,6,1,0,7
G000551003000710010,520,41,21,0,0,0,4,1,7,1,0,7
G000551003000710010,525,37,8,0,0,0,7,4,10,0,1,7
G000551003000710010,530,44,21,1,0,0,1,4,9,0,1,7
G000551003000710010,535,48,24,0,0,0,4,5,9,0,1,5
G000551003000720010,480,51,34,0,0,1,5,3,8,0,0,0
G000551003000720010,485,53,31,0,0,0,4,9,8,0,0,1
G000551003000720010,490,58,41,0,0,0,1,5,8,3,0,0
G000551003000720010,495,64,43,0,0,1,6,6,8,0,0,0
G000551003000720010,500,46,34,0,0,0,2,3,3,1,0,3
G000551003000720010,505,77,50,0,0,0,2,7,15,1,0,2
G000551003000720010,510,74,60,0,1,0,5,4,2,1,0,1
G000551003000720010,515,77,52,0,1,0,5,5,11,1,0,2
G000551003000720010,520,46,35,0,0,0,2,2,7,0,0,0
G000551003000720010,525,79,58,0,0,0,4,3,12,0,0,2
G000551003000720010,530,54,40,0,0,0,3,3,8,0,0,0
G000551003000720010,535,68,40,0,0,0,8,4,13,1,0,2
G000551003000810010,480,31,11,0,1,0,0,2,9,4,0,4
G000551003000810010,485,30,12,0,0,0,4,4,5,0,2,3
G000551003000810010,490,38,14,0,0,0,3,3,11,1,1,5
G000551003000810010,495,52,19,0,1,0,1,4,19,1,1,6
G000551003000810010,500,34,13,0,0,0,6,0,10,0,0,5
G000551003000810010,505,38,12,0,0,0,7,2,7,1,1,8
G000551003000810010,510,55,24,0,1,0,2,5,10,2,0,11
G000551003000810010,515,40,19,0,0,0,1,3,8,0,0,9
G000551003000810010,520,42,22,0,0,0,3,2,8,1,0,6
G000551003000810010,525,28,10,0,0,0,4,3,5,1,0,5
G000551003000810010,530,42,15,0,0,0,7,2,11,0,1,6
G000551003000810010,535,46,20,1,0,0,1,5,8,0,2,9
G000551003000820010,480,54,34,0,0,0,5,7,7,0,0,1
G000551003000820010,485,45,28,0,0,0,0,6,8,3,0,0
G000551003000820010,490,60,38,0,0,0,8,7,7,0,0,0
G000551003000820010,495,56,41,0,0,1,1,4,5,1,0,3
G000551003000820010,500,65,43,0,0,0,3,7,10,0,0,2
G000551003000820010,505,59,43,0,0,0,3,4,7,2,0,0
G000551003000820010,510,76,53,0,2,0,4,6,9,0,0,2
G000551003000820010,515,53,36,0,0,0,5,3,8,1,0,0
G000551003000820010,520,62,47,0,0,0,3,3,7,0,0,2
G000551003000820010,525,69,50,0,0,0,5,4,10,0,0,0
G000551003000820010,530,59,38,0,0,0,6,4,8,1,0,2
G000551003000820010,535,75,58,0,1,0,4,3,8,0,0,1
G000551003000910010,480,39,19,0,0,0,2,3,10,1,0,4
G000551003000910010,485,42,20,0,0,0,5,1,12,1,0,3
G000551003000910010,490,37,17,0,1,0,4,2,6,2,0,5
G000551003000910010,495,47,23,0,0,0,6,5,6,2,1,4
G000551003000910010,500,43,23,0,0,0,4,0,9,1,2,4
G000551003000910010,505,67,32,0,1,0,1,6,19,1,1,6
G000551003000910010,510,37,13,0,0,0,10,0,10,0,0,4
G000551003000910010,515,50,28,0,0,0,4,1,6,1,1,9
G000551003000910010,520,62,29,0,1,0,2,7,10,2,0,11
G000551003000910010,525,39,20,0,0,0,2,1,8,0,0,8
G000551003000910010,530,53,30,0,0,0,4,4,8,1,0,6
G000551003000910010,535,45,23,0,0,0,6,2,7,1,0,6
G000551003000920010,480,57,39,0,0,0,3,11,4,0,0,0
G000551003000920010,485,58,37,0,0,1,3,4,9,1,0,3
G000551003000920010,490,63,42,0,0,0,3,6,9,1,0,2
G000551003000920010,495,52,42,0,0,0,3,3,2,1,0,1
G000551003000920010,500,57,41,0,0,0,2,4,9,0,0,1
G000551003000920010,505,64,50,0,0,0,2,3,9,0,0,0
G000551003000920010,510,52,35,0,0,0,1,3,11,0,0,2
G000551003000920010,515,56,41,0,0,0,6,4,4,0,0,1
G000551003000920010,520,56,35,0,0,0,4,4,11,0,0,2
G000551003000920010,525,59,42,0,1,0,7,3,5,0,0,1
G000551003000920010,530,81,63,0,0,0,3,3,11,1,0,0
G000551003000920010,535,102,82,0,0,0,1,8,11,0,0,0
G000551003001010010,480,38,18,0,0,0,0,3,10,0,0,7
G000551003001010010,485,42,21,0,0,0,4,0,10,2,0,5
G000551003001010010,490,40,23,0,1,0,4,2,7,0,0,3
G000551003001010010,495,46,17,0,0,0,6,3,9,4,1,6
G000551003001010010,500,45,25,0,0,0,5,3,8,1,1,2
G000551003001010010,505,56,27,0,1,0,1,4,18,0,1,4
G000551003001010010,510,48,22,0,0,0,8,2,8,1,1,6
G000551003001010010,515,42,22,0,0,0,4,1,9,0,0,6
G000551003001010010,520,56,29,0,1,0,4,3,7,1,1,10
G000551003001010010,525,54,23,0,0,0,4,4,11,2,0,10
G000551003001010010,530,54,31,0,0,0,3,6,6,1,0,7
G000551003001010010,535,44,20,0,0,0,6,0,9,1,0,8
G000551003001020010,480,72,49,0,0,1,5,7,7,1,0,2
G000551003001020010,485,65,45,0,0,0,3,6,9,0,0,2
G000551003001020010,490,51,39,0,0,0,2,3,5,1,0,1
G000551003001020010,495,54,38,0,0,0,4,4,5,1,0,2
G000551003001020010,500,65,50,0,0,0,3,2,10,0,0,0
G000551003001020010,505,58,45,0,0,0,0,3,10,0,0,0
G000551003001020010,510,70,48,0,0,0,6,4,9,0,0,3
G000551003001020010,515,47,36,0,0,0,2,3,5,0,0,1
G000551003001020010,520,67,44,0,0,0,7,5,10,0,0,1
G000551003001020010,525,70,55,0,1,0,4,2,7,1,0,0
G000551003001020010,530,113,89,0,0,0,4,6,14,0,0,0
G000551003001020010,535,77,60,0,1,0,2,6,7,0,0,1
G000551003001110010,480,38,19,0,0,0,2,2,5,1,0,9
G000551003001110010,485,39,21,0,0,0,3,3,8,0,0,4
G000551003001110010,490,41,18,0,0,0,4,1,12,2,0,4
G000551003001110010,495,35,17,0,0,0,4,2,7,2,0,3
G000551003001110010,500,47,23,0,0,0,5,2,8,2,1,6
G000551003001110010,505,47,29,0,0,0,3,1,9,1,2,2
G000551003001110010,510,67,32,0,0,0,2,6,19,1,1,6
G000551003001110010,515,42,18,0,0,0,6,1,11,0,0,6
G000551003001110010,520,51,32,0,0,0,3,1,7,1,0,7
G000551003001110010,525,59,28,0,0,0,2,7,9,1,1,11
G000551003001110010,530,49,24,1,0,0,3,0,10,1,0,10
G000551003001110010,535,50,28,0,0,0,7,5,5,1,0,4
G000551003001120010,480,64,41,0,0,0,5,4,10,1,0,3
G000551003001120010,485,59,44,0,0,0,2,5,7,1,0,0
G000551003001120010,490,50,38,0,0,0,2,4,4,1,0,1
G000551003001120010,495,66,49,0,0,1,4,3,8,0,0,1
G000551003001120010,500,64,49,0,0,0,2,4,9,0,0,0
G000551003001120010,505,54,34,0,0,0,2,4,10,1,0,3
G000551003001120010,510,63,48,0,0,0,4,2,8,0,0,1
G000551003001120010,515,51,38,0,0,0,2,4,7,0,0,0
G000551003001120010,520,62,40,0,1,0,7,3,9,1,0,1
G000551003001120010,525,101,77,0,0,0,5,4,15,0,0,0
G000551003001120010,530,83,69,0,1,0,1,4,8,0,0,0
G000551003001120010,535,76,57,0,0,1,3,5,9,0,0,1
